Policy Area,Dataset,Variable,Year,Count,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Public Safety,Part I Crimes,Part I Violent Crimes,2012,0,"Census Tract 1021.05, Los Angeles County, California",102105,Sun Valley,1400000US06037102105,"(34.210852, -118.3480495)",Part_I_Violent_Crimes_2012_1400000US06037102105,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2013,11.199729,"Census Tract 9001.04, Los Angeles County, California",900104,Northeast Antelope Valley,1400000US06037900104,"(34.587324, -117.844901)",Part_I_Property_Crimes_2013_1400000US06037900104,01/01/2013
Public Safety,Part I Crimes,Part I Property Crimes,2015,18.944519,"Census Tract 2094.02, Los Angeles County, California",209402,Westlake,1400000US06037209402,"(34.0546635, -118.2772135)",Part_I_Property_Crimes_2015_1400000US06037209402,01/01/2015
Public Safety,Part I Crimes,Part I Violent Crimes,2014,4.7664442,"Census Tract 1898, Los Angeles County, California",189800,Hollywood,1400000US06037189800,"(34.0980545, -118.359927)",Part_I_Violent_Crimes_2014_1400000US06037189800,01/01/2014
Public Safety,Part I Crimes,Part I Property Crimes,2016,29.012024,"Census Tract 5540.01, Los Angeles County, California",554001,Bellflower,1400000US06037554001,"(33.898299, -118.1330425)",Part_I_Property_Crimes_2016_1400000US06037554001,01/01/2016
Public Safety,Part I Crimes,Part I Violent Crimes,2016,5.9139786,"Census Tract 5543.01, Los Angeles County, California",554301,Bellflower,1400000US06037554301,"(33.8831365, -118.146945)",Part_I_Violent_Crimes_2016_1400000US06037554301,01/01/2016
Public Safety,Part I Crimes,Part I Property Crimes,2014,16.261526,"Census Tract 1341.01, Los Angeles County, California",134101,Winnetka,1400000US06037134101,"(34.214331, -118.5666505)",Part_I_Property_Crimes_2014_1400000US06037134101,01/01/2014
Public Safety,Part I Crimes,Part I Property Crimes,2016,6.7469878,"Census Tract 9200.39, Los Angeles County, California",920039,Santa Clarita,1400000US06037920039,"(34.4217055, -118.4383615)",Part_I_Property_Crimes_2016_1400000US06037920039,01/01/2016
Public Safety,Part I Crimes,Part I Violent Crimes,2016,8.5266027,"Census Tract 1044.03, Los Angeles County, California",104403,Pacoima,1400000US06037104403,"(34.2589085, -118.4345385)",Part_I_Violent_Crimes_2016_1400000US06037104403,01/01/2016
Public Safety,Part I Crimes,Part I Property Crimes,2015,23.759462,"Census Tract 5544.06, Los Angeles County, California",554406,Bellflower,1400000US06037554406,"(33.8730215, -118.1121225)",Part_I_Property_Crimes_2015_1400000US06037554406,01/01/2015
Public Safety,Part I Crimes,Part I Property Crimes,2015,15.566626,"Census Tract 9108.05, Los Angeles County, California",910805,Acton,1400000US06037910805,"(34.46611, -118.2253525)",Part_I_Property_Crimes_2015_1400000US06037910805,01/01/2015
